"type","format","version","dataName","data__|__version","data__|__id","data__|__key","data__|__name","data__|__title","data__|__blurb","data__|__info__attack","data__|__info__defense","data__|__info__magic","data__|__info__difficulty","data__|__image__full","data__|__image__sprite","data__|__image__group","data__|__image__x","data__|__image__y","data__|__image__w","data__|__image__h","data__|__tags__001","data__|__tags__002","data__|__partype","data__|__stats__hp","data__|__stats__hpperlevel","data__|__stats__mp","data__|__stats__mpperlevel","data__|__stats__movespeed","data__|__stats__armor","data__|__stats__armorperlevel","data__|__stats__spellblock","data__|__stats__spellblockperlevel","data__|__stats__attackrange","data__|__stats__hpregen","data__|__stats__hpregenperlevel","data__|__stats__mpregen","data__|__stats__mpregenperlevel","data__|__stats__crit","data__|__stats__critperlevel","data__|__stats__attackdamage","data__|__stats__attackdamageperlevel","data__|__stats__attackspeedperlevel","data__|__stats__attackspeed"
"","","","Azir","11.7.1","Azir","268","Azir","the Emperor of the Sands","Azir was a mortal emperor of Shurima in a far distant age, a proud man who stood at the cusp of immortality. His hubris saw him betrayed and murdered at the moment of his greatest triumph, but now, millennia later, he has been reborn as an Ascended...","6","3","8","9","Azir.png","champion0.png","champion","0","48","48","48","Mage","Marksman","Mana","552","92","480","21","335","19","3","30","0.5","525","7","0.75","8","0.8","0","0","52","2.8","3","0.625"
"","","","Bard","11.7.1","Bard","432","Bard","the Wandering Caretaker","A traveler from beyond the stars, Bard is an agent of serendipity who fights to maintain a balance where life can endure the indifference of chaos. Many Runeterrans sing songs that ponder his extraordinary nature, yet they all agree that the cosmic...","4","4","5","9","Bard.png","champion0.png","champion","48","48","48","48","Support","Mage","Mana","560","89","350","50","330","34","4","30","0.5","500","5.5","0.55","6","0.45","0","0","52","3","2","0.625"
"","","","Blitzcrank","11.7.1","Blitzcrank","53","Blitzcrank","the Great Steam Golem","Blitzcrank is an enormous, near-indestructible automaton from Zaun, originally built to dispose of hazardous waste. However, he found this primary purpose too restricting, and modified his own form to better serve the fragile people of the Sump...","4","8","5","4","Blitzcrank.png","champion0.png","champion","96","48","48","48","Tank","Fighter","Mana","583","95","267","40","325","37","3.5","32","1.25","125","8.5","0.75","8.5","0.8","0","0","62","3.5","1.13","0.625"
"","","","Brand","11.7.1","Brand","63","Brand","the Burning Vengeance","Once a tribesman of the icy Freljord named Kegan Rodhe, the creature known as Brand is a lesson in the temptation of greater power. Seeking one of the legendary World Runes, Kegan betrayed his companions and seized it for himselfâ€”and, in an instant, the...","2","2","9","4","Brand.png","champion0.png","champion","144","48","48","48","Mage","","Mana","520","88","469","21","340","22","3.5","30","0.5","550","5.5","0.55","10.67","0.6","0","0","57","3","1.36","0.625"
"","","","Braum","11.7.1","Braum","201","Braum","the Heart of the Freljord","Blessed with massive biceps and an even bigger heart, Braum is a beloved hero of the Freljord. Every mead hall north of Frostheld toasts his legendary strength, said to have felled a forest of oaks in a single night, and punched an entire mountain into...","3","9","4","3","Braum.png","champion0.png","champion","192","48","48","48","Support","Tank","Mana","540","98","311","45","335","47","4","32","1.25","125","8.5","1","6","0.8","0","0","55","3.2","3.5","0.644"
"","","","Caitlyn","11.7.1","Caitlyn","51","Caitlyn","the Sheriff of Piltover","Renowned as its finest peacekeeper, Caitlyn is also Piltover's best shot at ridding the city of its elusive criminal elements. She is often paired with Vi, acting as a cool counterpoint to her partner's more impetuous nature. Even though she carries a...","8","2","2","6","Caitlyn.png","champion0.png","champion","240","48","48","48","Marksman","","Mana","510","93","315","35","325","28","3.5","30","0.5","650","3.5","0.55","7.4","0.55","0","0","62","3.8","4","0.681"
"","","","Camille","11.7.1","Camille","164","Camille","the Steel Shadow","Weaponized to operate outside the boundaries of the law, Camille is the Principal Intelligencer of Clan Ferrosâ€”an elegant and elite agent who ensures the Piltover machine and its Zaunite underbelly runs smoothly. Adaptable and precise, she views sloppy...","8","6","3","4","Camille.png","champion0.png","champion","288","48","48","48","Fighter","Tank","Mana","576","85","339","52","340","35","3.8","32.1","1.25","125","8.5","0.8","8.15","0.75","0","0","68","3.5","2.5","0.644"
"","","","Cassiopeia","11.7.1","Cassiopeia","69","Cassiopeia","the Serpent's Embrace","Cassiopeia is a deadly creature bent on manipulating others to her sinister will. Youngest and most beautiful daughter of the noble Du Couteau family of Noxus, she ventured deep into the crypts beneath Shurima in search of ancient power. There, she was...","2","3","9","10","Cassiopeia.png","champion0.png","champion","336","48","48","48","Mage","","Mana","560","90","350","60","328","18","3.5","32","0.5","550","5.5","0.5","8","0.8","0","0","53","3","1.5","0.647"
"","","","Chogath","11.7.1","Chogath","31","Cho'Gath","the Terror of the Void","From the moment Cho'Gath first emerged into the harsh light of Runeterra's sun, the beast was driven by the most pure and insatiable hunger. A perfect expression of the Void's desire to consume all life, Cho'Gath's complex biology quickly converts...","3","7","7","5","Chogath.png","champion0.png","champion","384","48","48","48","Tank","Mage","Mana","574","80","270","60","345","38","3.5","32","1.25","125","9","0.85","7.2","0.45","0","0","69","4.2","1.44","0.625"
"","","","Corki","11.7.1","Corki","42","Corki","the Daring Bombardier","The yordle pilot Corki loves two things above all others: flying, and his glamorous mustache... though not necessarily in that order. After leaving Bandle City, he settled in Piltover and fell in love with the wondrous machines he found there. He...","8","3","6","6","Corki.png","champion0.png","champion","432","48","48","48","Marksman","","Mana","518","87","350","54","325","28","3.5","30","0.5","550","5.5","0.55","7.42","0.55","0","0","55","2.5","2.3","0.638"
"","","","Darius","11.7.1","Darius","122","Darius","the Hand of Noxus","There is no greater symbol of Noxian might than Darius, the nation's most feared and battle-hardened commander. Rising from humble origins to become the Hand of Noxus, he cleaves through the empire's enemiesâ€”many of them Noxians themselves. Knowing that...","9","5","1","2","Darius.png","champion0.png","champion","0","96","48","48","Fighter","Tank","Mana","582","100","263","57.5","340","39","4","32","1.25","175","10","0.95","6.6","0.35","0","0","64","5","1","0.625"
"","","","Diana","11.7.1","Diana","131","Diana","Scorn of the Moon","Bearing her crescent moonblade, Diana fights as a warrior of the Lunariâ€”a faith all but quashed in the lands around Mount Targon. Clad in shimmering armor the color of winter snow at night, she is a living embodiment of the silver moon's power. Imbued...","7","6","8","4","Diana.png","champion0.png","champion","48","96","48","48","Fighter","Mage","Mana","570","95","375","25","345","31","3.6","32","1.25","150","7.5","0.85","8","0.8","0","0","57","3","2.25","0.625"
"","","","Draven","11.7.1","Draven","119","Draven","the Glorious Executioner","In Noxus, warriors known as Reckoners face one another in arenas where blood is spilled and strength testedâ€”but none has ever been as celebrated as Draven. A former soldier, he found that the crowds uniquely appreciated his flair for the dramatic, and...","9","3","1","8","Draven.png","champion0.png","champion","96","96","48","48","Marksman","","Mana","605","90","360.56","39","330","29","3.3","30","0.5","550","3.75","0.7","8.04","0.65","0","0","60","3.61","2.7","0.679"
"","","","DrMundo","11.7.1","DrMundo","36","Dr. Mundo","the Madman of Zaun","Utterly insane, unrepentantly homicidal, and horrifyingly purple, Dr. Mundo is what keeps many of Zaun's citizens indoors on particularly dark nights. This monosyllabic monstrosity seems to want nothing more than painâ€”both the giving of it, and the...","5","7","6","5","DrMundo.png","champion0.png","champion","144","96","48","48","Fighter","Tank","None","583","89","0","0","345","36","3.5","32","1.25","125","8","0.75","0","0","0","0","61","3.5","2.8","0.721"
"","","","Ekko","11.7.1","Ekko","245","Ekko","the Boy Who Shattered Time","A prodigy from the rough streets of Zaun, Ekko manipulates time to twist any situation to his advantage. Using his own invention, the Zero Drive, he explores the branching possibilities of reality to craft the perfect moment. Though he revels in this...","5","3","7","8","Ekko.png","champion0.png","champion","192","96","48","48","Assassin","Fighter","Mana","585","85","280","70","340","32","3","32","1.25","125","9","0.9","7","0.8","0","0","58","3","3.3","0.688"
"","","","Elise","11.7.1","Elise","60","Elise","the Spider Queen","Elise is a deadly predator who dwells in a shuttered, lightless palace, deep within the oldest city of Noxus. Once mortal, she was the mistress of a powerful house, but the bite of a vile demigod transformed her into something beautiful, yet utterly...","6","5","7","9","Elise.png","champion0.png","champion","240","96","48","48","Mage","Fighter","Mana","534","93","324","50","330","27","3.35","30","0.5","550","5.5","0.6","6","0.8","0","0","55","3","1.75","0.625"
"","","","Evelynn","11.7.1","Evelynn","28","Evelynn","Agony's Embrace","Within the dark seams of Runeterra, the demon Evelynn searches for her next victim. She lures in prey with the voluptuous faÃ§ade of a human female, but once a person succumbs to her charms, Evelynn's true form is unleashed. She then subjects her victim...","4","2","7","10","Evelynn.png","champion0.png","champion","288","96","48","48","Assassin","Mage","Mana","572","84","315","42","335","37","3.5","32.1","1.25","125","8.5","0.75","8.11","0.6","0","0","61","3","2.1","0.667"
"","","","Ezreal","11.7.1","Ezreal","81","Ezreal","the Prodigal Explorer","A dashing adventurer, unknowingly gifted in the magical arts, Ezreal raids long-lost catacombs, tangles with ancient curses, and overcomes seemingly impossible odds with ease. His courage and bravado knowing no bounds, he prefers to improvise his way...","7","2","6","7","Ezreal.png","champion0.png","champion","336","96","48","48","Marksman","Mage","Mana","530","88","375","70","325","22","3.5","30","0.5","550","4","0.55","8.5","0.65","0","0","60","2.5","2.5","0.625"
"","","","Fiddlesticks","11.7.1","Fiddlesticks","9","Fiddlesticks","the Ancient Fear","Something has awoken in Runeterra. Something ancient. Something terrible. The ageless horror known as Fiddlesticks stalks the edges of mortal society, drawn to areas thick with paranoia where it feeds upon terrorized victims. Wielding a jagged scythe...","2","3","9","9","Fiddlesticks.png","champion0.png","champion","384","96","48","48","Mage","Support","Mana","580.4","92","500","28","335","34","3.5","30","0.5","480","5.5","0.6","8","0.8","0","0","55.36","2.63","2.11","0.625"
"","","","Fiora","11.7.1","Fiora","114","Fiora","the Grand Duelist","The most feared duelist in all Valoran, Fiora is as renowned for her brusque manner and cunning mind as she is for the speed of her bluesteel rapier. Born to House Laurent in the kingdom of Demacia, Fiora took control of the family from her father in...","10","4","2","3","Fiora.png","champion0.png","champion","432","96","48","48","Fighter","Assassin","Mana","550","85","300","60","345","33","3.5","32","1.25","150","8.5","0.55","8","0.7","0","0","68","3.3","3.2","0.69"
"","","","Fizz","11.7.1","Fizz","105","Fizz","the Tidal Trickster","Fizz is an amphibious yordle, who dwells among the reefs surrounding Bilgewater. He often retrieves and returns the tithes cast into the sea by superstitious captains, but even the saltiest of sailors know better than to cross himâ€”for many are the tales...","6","4","7","6","Fizz.png","champion1.png","champion","0","0","48","48","Assassin","Fighter","Mana","570","98","317","37","335","22","3.4","32","1.25","175","8","0.7","6","0.8","0","0","58","3","3.1","0.658"
"","","","Galio","11.7.1","Galio","3","Galio","the Colossus","Outside the gleaming city of Demacia, the stone colossus Galio keeps vigilant watch. Built as a bulwark against enemy mages, he often stands motionless for decades until the presence of powerful magic stirs him to life. Once activated, Galio makes the...","1","10","6","5","Galio.png","champion1.png","champion","48","0","48","48","Tank","Mage","Mana","562","112","500","40","335","24","3.5","32","1.25","150","8","0.8","9.5","0.7","0","0","59","3.5","1.5","0.625"
"","","","Gangplank","11.7.1","Gangplank","41","Gangplank","the Saltwater Scourge","As unpredictable as he is brutal, the dethroned reaver king Gangplank is feared far and wide. Once, he ruled the port city of Bilgewater, and while his reign is over, there are those who believe this has only made him more dangerous. Gangplank would see...","7","6","4","9","Gangplank.png","champion1.png","champion","96","0","48","48","Fighter","","Mana","540","82","280","60","345","35","3","32","1.25","125","6","0.6","7.5","0.7","0","0","64","4","3.2","0.658"
"","","","Garen","11.7.1","Garen","86","Garen","The Might of Demacia","A proud and noble warrior, Garen fights as one of the Dauntless Vanguard. He is popular among his fellows, and respected well enough by his enemiesâ€”not least as a scion of the prestigious Crownguard family, entrusted with defending Demacia and its...","7","7","1","5","Garen.png","champion1.png","champion","144","0","48","48","Fighter","Tank","None","620","84","0","0","340","36","3","32","0.75","175","8","0.5","0","0","0","0","66","4.5","3.65","0.625"
"","","","Gnar","11.7.1","Gnar","150","Gnar","the Missing Link","Gnar is a primeval yordle whose playful antics can erupt into a toddler's outrage in an instant, transforming him into a massive beast bent on destruction. Frozen in True Ice for millennia, the curious creature broke free and now hops about a changed...","6","5","5","8","Gnar.png","champion1.png","champion","192","0","48","48","Fighter","Tank","Rage","510","65","100","0","335","32","2.5","30","0.5","175","4.5","1.75","0","0","0","0","59","3","6","0.625"
"","","","Gragas","11.7.1","Gragas","79","Gragas","the Rabble Rouser","Equal parts jolly and imposing, Gragas is a massive, rowdy brewmaster on his own quest for the perfect pint of ale. Hailing from parts unknown, he now searches for rare ingredients among the unblemished wastes of the Freljord, trying each recipe as he...","4","7","6","5","Gragas.png","champion1.png","champion","240","0","48","48","Fighter","Mage","Mana","600","95","400","47","330","38","3.6","32","1.25","125","5.5","0.5","6","0.8","0","0","64","3.5","2.05","0.675"
"","","","Graves","11.7.1","Graves","104","Graves","the Outlaw","Malcolm Graves is a renowned mercenary, gambler, and thiefâ€”a wanted man in every city and empire he has visited. Even though he has an explosive temper, he possesses a strict sense of criminal honor, often enforced at the business end of his...","8","5","3","3","Graves.png","champion1.png","champion","288","0","48","48","Marksman","","Mana","555","92","325","40","340","33","3.4","32","1.25","425","8","0.7","8","0.7","0","0","66","3","2.6","0.475"
"","","","Hecarim","11.7.1","Hecarim","120","Hecarim","the Shadow of War","Hecarim is a spectral fusion of man and beast, cursed to ride down the souls of the living for all eternity. When the Blessed Isles fell into shadow, this proud knight was obliterated by the destructive energies of the Ruination, along with all his...","8","6","4","6","Hecarim.png","champion1.png","champion","336","0","48","48","Fighter","Tank","Mana","580","90","277","60","345","36","4","32","1.25","175","7","0.75","6.5","0.6","0","0","66","3.2","2.5","0.67"
"","","","Heimerdinger","11.7.1","Heimerdinger","74","Heimerdinger","the Revered Inventor","A brilliant yet eccentric yordle scientist, Professor Cecil B. Heimerdinger is one of the most innovative and esteemed inventors Piltover has ever known. Relentless in his work to the point of neurotic obsession, he thrives on answering the universe's...","2","6","8","8","Heimerdinger.png","champion1.png","champion","384","0","48","48","Mage","Support","Mana","488","87","385","20","340","19","3","30","0.5","550","7","0.55","8","0.8","0","0","56","2.7","1.36","0.625"
"","","","Illaoi","11.7.1","Illaoi","420","Illaoi","the Kraken Priestess","Illaoi's powerful physique is dwarfed only by her indomitable faith. As the prophet of the Great Kraken, she uses a huge, golden idol to rip her foes' spirits from their bodies and shatter their perception of reality. All who challenge the â€œTruth Bearer...","8","6","3","4","Illaoi.png","champion1.png","champion","432","0","48","48","Fighter","Tank","Mana","586","95","300","40","340","35","3.8","32","1.25","125","9.5","0.8","7.5","0.75","0","0","68","5","2.5","0.571"
"","","","Irelia","11.7.1","Irelia","39","Irelia","the Blade Dancer","The Noxian occupation of Ionia produced many heroes, none more unlikely than young Irelia of Navori. Trained in the ancient dances of her province, she adapted her art for war, using the graceful and carefully practised movements to levitate a host of...","7","4","5","5","Irelia.png","champion1.png","champion","0","48","48","48","Fighter","Assassin","Mana","580","95","350","50","335","36","3","32","1.25","200","8.5","0.85","8","0.8","0","0","65","4","2.5","0.656"
"","","","Ivern","11.7.1","Ivern","427","Ivern","the Green Father","Ivern Bramblefoot, known to many as the Green Father, is a peculiar half man, half tree who roams Runeterra's forests, cultivating life everywhere he goes. He knows the secrets of the natural world, and holds deep friendships with all things that grow...","3","5","7","7","Ivern.png","champion1.png","champion","48","48","48","48","Support","Mage","Mana","585","85","450","60","330","27","3.5","32","1.25","475","7","0.85","6","0.75","0","0","50","3","3.4","0.644"
"","","","Janna","11.7.1","Janna","40","Janna","the Storm's Fury","Armed with the power of Runeterra's gales, Janna is a mysterious, elemental wind spirit who protects the dispossessed of Zaun. Some believe she was brought into existence by the pleas of Runeterra's sailors who prayed for fair winds as they navigated...","3","5","7","7","Janna.png","champion1.png","champion","96","48","48","48","Support","Mage","Mana","500","70","350","64","315","28","3.8","30","0.5","550","5.5","0.55","11.5","0.4","0","0","46","1.5","2.95","0.625"
"","","","JarvanIV","11.7.1","JarvanIV","59","Jarvan IV","the Exemplar of Demacia","Prince Jarvan, scion of the Lightshield dynasty, is heir apparent to the throne of Demacia. Raised to be a paragon of his nation's greatest virtues, he is forced to balance the heavy expectations placed upon him with his own desire to fight on the front...","6","8","3","5","JarvanIV.png","champion1.png","champion","144","48","48","48","Tank","Fighter","Mana","570","90","300","40","340","34","3.6","32","1.25","175","8","0.7","6.5","0.45","0","0","64","3.4","2.5","0.658"
"","","","Jax","11.7.1","Jax","24","Jax","Grandmaster at Arms","Unmatched in both his skill with unique armaments and his biting sarcasm, Jax is the last known weapons master of Icathia. After his homeland was laid low by its own hubris in unleashing the Void, Jax and his kind vowed to protect what little remained...","7","5","7","5","Jax.png","champion1.png","champion","192","48","48","48","Fighter","Assassin","Mana","593","85","339","52","350","36","3","32","1.25","125","8.5","0.55","7.58","0.7","0","0","68","4.25","3.4","0.638"
"","","","Jayce","11.7.1","Jayce","126","Jayce","the Defender of Tomorrow","Jayce is a brilliant inventor who has pledged his life to the defense of Piltover and its unyielding pursuit of progress. With his transforming hextech hammer in hand, Jayce uses his strength, courage, and considerable intelligence to protect his...","8","4","3","7","Jayce.png","champion1.png","champion","240","48","48","48","Fighter","Marksman","Mana","560","90","375","45","335","27","3.5","30","0.5","125","6","0.6","6","0.8","0","0","54","4.25","3","0.658"
"","","","Jhin","11.7.1","Jhin","202","Jhin","the Virtuoso","Jhin is a meticulous criminal psychopath who believes murder is art. Once an Ionian prisoner, but freed by shadowy elements within Ionia's ruling council, the serial killer now works as their cabal's assassin. Using his gun as his paintbrush, Jhin...","10","2","6","6","Jhin.png","champion1.png","champion","288","48","48","48","Marksman","Mage","Mana","585","93","300","50","330","24","3.5","30","0.5","550","3.75","0.55","6","0.8","0","0","59","4.7","0","0.625"
"","","","Jinx","11.7.1","Jinx","222","Jinx","the Loose Cannon","A manic and impulsive criminal from Zaun, Jinx lives to wreak havoc without care for the consequences. With an arsenal of deadly weapons, she unleashes the loudest blasts and brightest explosions to leave a trail of mayhem and panic in her wake. Jinx...","9","2","4","6","Jinx.png","champion1.png","champion","336","48","48","48","Marksman","","Mana","610","86","245","45","325","28","3.5","30","0.5","525","3.75","0.5","6.7","1","0","0","57","3.4","1","0.625"
"","","","Kaisa","11.7.1","Kaisa","145","Kai'Sa","Daughter of the Void","Claimed by the Void when she was only a child, Kai'Sa managed to survive through sheer tenacity and strength of will. Her experiences have made her a deadly hunter and, to some, the harbinger of a future they would rather not live to see. Having entered...","8","5","3","6","Kaisa.png","champion1.png","champion","384","48","48","48","Marksman","","Mana","600","88","344.88","38","335","28","3","30","0.5","525","3.5","0.55","8.2","0.45","0","0","59","2","1.8","0.644"
"","","","Kalista","11.7.1","Kalista","429","Kalista","the Spear of Vengeance","A specter of wrath and retribution, Kalista is the undying spirit of vengeance, an armored nightmare summoned from the Shadow Isles to hunt deceivers and traitors. The betrayed may cry out in blood to be avenged, but Kalista only answers those willing...","8","2","4","7","Kalista.png","champion1.png","champion","432","48","48","48","Marksman","","Mana","534","100","250","45","325","21","4","30","0.5","525","3.75","0.55","6.3","0.4","0","0","69","3.5","4","0.694"
"","","","Karma","11.7.1","Karma","43","Karma","the Enlightened One","No mortal exemplifies the spiritual traditions of Ionia more than Karma. She is the living embodiment of an ancient soul reincarnated countless times, carrying all her accumulated memories into each new life, and blessed with power that few can...","1","7","8","5","Karma.png","champion1.png","champion","0","96","48","48","Mage","Support","Mana","534","95","374","50","335","26","3.8","30","0.5","525","5.5","0.55","13","0.5","0","0","54","3.3","2.3","0.625"
"","","","Karthus","11.7.1","Karthus","30","Karthus","the Deathsinger","The harbinger of oblivion, Karthus is an undying spirit whose haunting songs are a prelude to the horror of his nightmarish appearance. The living fear the eternity of undeath, but Karthus sees only beauty and purity in its embrace, a perfect union of...","2","2","10","7","Karthus.png","champion1.png","champion","48","96","48","48","Mage","","Mana","550","87","467","30.5","335","18","3.5","30","0.5","450","6.5","0.55","8","0.8","0","0","46","3.25","2.11","0.625"
"","","","Kassadin","11.7.1","Kassadin","38","Kassadin","the Void Walker","Cutting a burning swath through the darkest places of the world, Kassadin knows his days are numbered. A widely traveled Shuriman guide and adventurer, he had chosen to raise a family among the peaceful southern tribesâ€”until the day his village was...","3","5","8","8","Kassadin.png","champion1.png","champion","96","96","48","48","Assassin","Mage","Mana","576","105","400","87","335","19","2.8","30","0.5","150","6","0.5","6","0.8","0","0","59","3.9","3.7","0.64"
"","","","Katarina","11.7.1","Katarina","55","Katarina","the Sinister Blade","Decisive in judgment and lethal in combat, Katarina is a Noxian assassin of the highest caliber. Eldest daughter to the legendary General Du Couteau, she made her talents known with swift kills against unsuspecting enemies. Her fiery ambition has driven...","4","3","9","8","Katarina.png","champion1.png","champion","144","96","48","48","Assassin","Mage","None","602","94","0","0","340","28","3.5","32","1.25","125","7.5","0.7","0","0","0","0","58","3.2","2.74","0.658"
"","","","Kayle","11.7.1","Kayle","10","Kayle","the Righteous","Born to a Targonian Aspect at the height of the Rune Wars, Kayle honored her mother's legacy by fighting for justice on wings of divine flame. She and her twin sister Morgana were the protectors of Demacia for many yearsâ€”until Kayle became disillusioned...","6","6","7","7","Kayle.png","champion1.png","champion","192","96","48","48","Fighter","Support","Mana","600","85","330","50","335","26","3","30","0.5","175","5","0.5","8","0.8","0","0","50","2.5","1.5","0.625"
"","","","Kayn","11.7.1","Kayn","141","Kayn","the Shadow Reaper","A peerless practitioner of lethal shadow magic, Shieda Kayn battles to achieve his true destinyâ€”to one day lead the Order of Shadow into a new era of Ionian supremacy. He wields the sentient darkin weapon Rhaast, undeterred by its creeping corruption of...","10","6","1","8","Kayn.png","champion1.png","champion","240","96","48","48","Fighter","Assassin","Mana","585","85","410","50","340","38","3.3","32","1.25","175","8","0.75","11.5","0.95","0","0","68","3.3","2.7","0.669"
"","","","Kennen","11.7.1","Kennen","85","Kennen","the Heart of the Tempest","More than just the lightning-quick enforcer of Ionian balance, Kennen is the only yordle member of the Kinkou. Despite his small, furry stature, he is eager to take on any threat with a whirling storm of shuriken and boundless enthusiasm. Alongside his...","6","4","7","4","Kennen.png","champion1.png","champion","288","96","48","48","Mage","Marksman","Energy","541","84","200","0","335","29","3.75","30","0.5","550","5.5","0.65","50","0","0","0","48","3.75","3.4","0.625"
